PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Patrick Mahomes,KC,3.13,6,8,-1.9,7.1,28.4,-0.8,42,424,4,1,129.5,76.2,70.4,5.7
Kirk Cousins,MIN,2.69,5.6,6.1,-0.5,6.7,33,-2.6,45,378,2,1,107.2,77.8,64.9,12.8
Lamar Jackson,BAL,2.97,7.9,8.6,-0.7,--,37.5,-0.5,27,357,3,0,155.8,77.8,72.1,5.7
Gardner Minshew,IND,2.73,8.3,8.7,-0.3,13,41.7,-0.2,23,305,2,1,119.4,65.2,63.9,1.4
Derek Carr,NO,2.58,3.7,6.9,-3.3,12.7,39,-0.9,55,301,1,1,73.4,60,65.6,-5.6
Jared Goff,DET,2.77,3.9,7,-3,20.8,34,-1.5,53,284,0,1,68.4,62.3,60,2.3
Tyrod Taylor,NYG,2.82,8.8,10.8,-2,20.7,53.2,1,29,279,2,0,116.9,62.1,56.3,5.7
Jalen Hurts,PHI,2.67,6.6,7.8,-1.2,16.1,49.3,-0.7,31,279,2,1,109.5,74.2,64.1,10.1
Baker Mayfield,TB,2.79,4.2,7.2,-3,16.7,45,-2.4,42,275,1,1,81,64.3,65.7,-1.4
Brock Purdy,SF,2.6,6.6,8.3,-1.7,10,30.5,-0.7,30,272,1,2,81.5,70,69.6,0.4
Mac Jones,NE,2.19,4.2,4.1,0.2,16.7,30.7,-4,30,272,2,0,126.7,83.3,72.4,10.9
Josh Allen,BUF,3.26,5,11.1,-6.1,7.3,30.5,2.3,41,265,2,1,90,65.9,63,2.9
Justin Herbert,LAC,2.88,9.3,11.1,-1.9,16.7,40.5,1.1,30,259,1,2,68.6,56.7,60.2,-3.5
Desmond Ridder,ATL,2.69,7.6,8.1,-0.5,24,52,0,25,250,0,0,107.1,76,61.1,14.9
Sam Howell,WAS,2.76,6.1,8.1,-2,16.7,46.9,-1,42,249,0,1,60.5,52.4,54.8,-2.4
Matthew Stafford,LAR,2.84,8.2,7.3,0.9,10.3,47.8,-2.8,29,231,1,1,72.6,48.3,57.1,-8.8
Kenny Pickett,PIT,2.85,6.6,8.1,-1.5,16,33.7,-0.9,25,230,0,0,97.1,68,59.5,8.5
Geno Smith,SEA,2.77,10,9.6,0.4,25,42.3,1.4,24,219,2,1,113,75,64.6,10.4
Tua Tagovailoa,MIA,2.35,7.3,8.2,-0.9,15.6,46.6,-2.3,32,216,1,1,87.5,71.9,66.5,5.3
Trevor Lawrence,JAX,2.2,2.9,6.1,-3.2,13.8,33.2,-2.8,29,204,1,0,100.4,69,71.7,-2.8
Russell Wilson,DEN,2.9,5.2,6.6,-1.4,3.4,41.7,-1.3,29,194,1,0,98.9,69,61.6,7.4
Jordan Love,GB,2.62,3.4,6.9,-3.5,25.8,32,-0.6,31,180,2,1,90.8,67.7,64.1,3.6
Phillip Walker,CLE,3.01,5.8,8.3,-2.5,12.5,37.3,-0.1,32,178,0,1,51.3,46.9,60.5,-13.6
Tyson Bagent,CHI,2.75,2.3,2.5,-0.2,13.8,28.3,-6.1,29,162,1,0,97.2,72.4,74.3,-1.9
Joshua Dobbs,ARI,2.89,4.1,6.6,-2.5,15.2,31.2,-3,33,146,0,0,68.5,57.6,71.5,-13.9
Brian Hoyer,LV,2.39,4.3,6.9,-2.6,18.8,25.3,-1.3,32,129,0,2,37.1,53.1,67.7,-14.6
