PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
C.J. Stroud,HOU,2.69,9.1,10.5,-1.3,18.9,52.5,1.5,37,336,2,3,85,73,61.2,11.8
Brock Purdy,SF,3.1,7.7,8.3,-0.6,8,44.6,-0.7,25,333,3,0,158.3,84,66.6,17.4
Tua Tagovailoa,MIA,2.34,6.1,7.6,-1.4,7.7,41.2,-1.2,39,325,2,1,103,71.8,69.1,2.7
Jordan Love,GB,2.61,4.9,7.2,-2.4,15,39.7,-1.7,40,322,2,0,108.5,67.5,66.1,1.4
Josh Allen,BUF,2.83,3.8,6.6,-2.8,6.3,32.8,-2.5,32,275,3,1,108.2,62.5,64.1,-1.6
Aidan O'Connell,LV,2.91,7,10.3,-3.3,12.2,48.8,0.8,41,271,1,3,56,58.5,58.4,0.2
Lamar Jackson,BAL,3.58,6.9,12.2,-5.3,11.5,42.9,4,26,264,2,0,121.3,61.5,57.2,4.3
Trevor Lawrence,JAX,2.78,7.8,9.5,-1.7,9.4,41.9,1.2,32,262,2,0,119.5,75,62.4,12.6
Justin Herbert,LAC,3.06,7.3,9.9,-2.6,27.8,35.8,2.2,36,260,2,0,99.3,58.3,60,-1.7
Russell Wilson,DEN,2.97,3,6.3,-3.3,5.7,45.5,-2.9,35,259,1,0,106.7,77.1,65.6,11.6
Sam Howell,WAS,2.75,2.6,6.2,-3.7,13.3,31.8,-2.8,45,256,1,3,62.8,68.9,68,0.9
Tommy DeVito,NYG,2.86,8.4,9.3,-0.9,15.4,42.6,-1,26,246,3,0,137.7,69.2,71.1,-1.9
Baker Mayfield,TB,2.55,4.5,9.4,-4.9,15.6,35.2,1,45,246,1,1,76.7,64.4,62.7,1.8
Jared Goff,DET,2.75,6.3,7.4,-1.1,17.1,48.3,-0.5,35,236,2,3,68.3,65.7,61.7,4.1
Geno Smith,SEA,2.71,4.9,7.9,-2.9,11.8,45.1,-1.4,34,233,1,0,94.4,64.7,61.2,3.5
Joshua Dobbs,MIN,3.31,6.3,7.4,-1.1,18.8,34.3,-1.9,32,221,1,1,80.3,62.5,58.5,4
Kyler Murray,ARI,2.87,5.7,9.8,-4.1,10,53.3,0.9,30,214,1,1,84.6,66.7,67.5,-0.8
Matthew Stafford,LAR,3.33,3.7,5.6,-1.9,16.1,35.7,-4.5,31,190,1,1,70.6,54.8,68.6,-13.8
Dak Prescott,DAL,2.53,4.3,5.5,-1.2,21.1,33,-4.2,38,189,2,0,95.2,65.8,66.1,-0.3
Patrick Mahomes,KC,3.02,4.4,8.6,-4.2,14,37.4,-0.4,43,177,2,1,71.6,55.8,63.5,-7.6
Justin Fields,CHI,3.42,8,12,-4,21.7,49.1,2.1,23,169,1,0,105.2,69.6,54.4,15.1
Dorian Thompson-Robinson,CLE,2.34,2.5,3.3,-0.8,18.6,27.2,-6.2,43,165,0,1,54.9,55.8,70.1,-14.3
Will Levis,TEN,2.84,6.9,7.6,-0.7,11.8,54.8,-1.3,17,158,2,0,143.8,76.5,67.8,8.7
Jalen Hurts,PHI,2.61,5.6,6.4,-0.8,13.6,51.6,-4.3,22,150,0,1,64.6,63.6,68.4,-4.8
Bryce Young,CAR,2.58,3.5,6.9,-3.4,13.8,36.2,-1.9,29,123,1,1,62.9,55.2,54.4,0.8
Kenny Pickett,PIT,2.5,2.7,6.1,-3.5,10.7,30.4,-3.6,28,106,0,0,62.5,53.6,59.1,-5.5
Joe Burrow,CIN,2.48,2.9,5.3,-2.4,11.8,29.4,-3.8,17,101,1,0,100.4,64.7,66.8,-2.1
Zach Wilson,NYJ,2.66,2.8,6.2,-3.3,26.7,25.2,-3.6,15,81,1,1,57.9,46.7,61.6,-15
