PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%, +/-
Joe Burrow,CIN,2.64,5.2,6.5,-1.3,13.6,35.5,-2.2,44,369,3,1,112.8,75,69.1,5.9
Sam Darnold,MIN,3.06,10.6,11.3,-0.7,17.9,49.9,2.3,28,347,5,0,157.9,78.6,65.5,13.1
Kirk Cousins,ATL,2.48,8.1,8.6,-0.5,13.5,50,-0.7,37,344,0,2,70.1,62.2,69.3,-7.1
Josh Allen,BUF,3.02,6.9,11.4,-4.5,13.5,47.1,1.5,37,342,3,0,117.2,59.5,67.4,-7.9
Aaron Rodgers,NYJ,2.77,5.2,6.4,-1.2,7.7,51.4,-1.2,39,339,1,0,104.5,69.2,71.8,-2.5
Tua Tagovailoa,MIA,2.35,3.8,5.5,-1.7,12.8,27.2,-3.1,47,331,2,0,104.1,70.2,69.2,1
Brock Purdy,SF,2.87,8.5,9.8,-1.3,12,45.2,2.1,25,325,2,0,145.4,80,63.9,16.1
Matthew Stafford,LAR,2.69,8.1,9.1,-1,20,39.5,0.5,30,320,2,0,132.6,76.7,66.7,10
Baker Mayfield,TB,2.92,8.1,8,0.1,6.9,36.3,-1.4,29,295,3,2,101.9,62.1,69.9,-7.9
Jared Goff,DET,2.49,4.2,5.8,-1.6,14.6,34.8,-2.6,41,283,3,1,109.7,78,70,8
Kyler Murray,ARI,2.65,3.4,5.3,-1.9,13.2,44.5,-4,38,259,2,2,80.9,65.8,72.1,-6.3
Geno Smith,SEA,2.99,3.2,5.7,-2.5,3.3,38.7,-4.4,30,233,1,0,110.1,80,72.3,7.7
Drew Lock,NYG,3.21,6.6,9,-2.4,22.4,37.9,-0.1,49,227,0,1,48.6,42.9,52.6,-9.7
Mac Jones,JAX,2.78,4.2,5.1,-0.9,6.5,32.9,-2.8,31,220,0,2,66.6,74.2,72,2.2
Derek Carr,NO,2.71,5.9,10.1,-4.3,12.9,32.3,0.1,31,219,1,1,82.6,64.5,66,-1.4
Justin Herbert,LAC,2.82,6.6,10.2,-3.5,20,38.5,0.6,30,213,1,0,101.1,70,66.4,3.6
Jameis Winston,CLE,2.98,6.1,8.5,-2.4,22,33.5,-0.7,41,212,2,2,68.3,58.5,58.2,0.4
Patrick Mahomes,KC,2.62,3.4,6.4,-3,13.5,27.1,-2.3,37,210,1,0,88.8,64.9,66.5,-1.6
Jordan Love,GB,3.22,9.5,9.4,0.1,15,51.9,0.7,20,206,1,0,111.7,60,59.5,0.5
Bryce Young,CAR,3.19,7.4,10.6,-3.2,17.6,37.7,2.2,34,191,1,1,69.6,55.9,56.5,-0.6
Cooper Rush,DAL,2.65,6.8,7.3,-0.4,29,35.6,-1.4,31,183,2,1,77.8,51.6,60.8,-9.1
Will Levis,TEN,2.96,3,5.5,-2.5,34.4,30.7,-2.3,32,168,0,0,73.4,59.4,64.5,-5.1
Russell Wilson,PIT,2.64,5.4,8,-2.6,15.4,39.6,-0.4,26,158,2,0,101.1,57.7,58.1,-0.4
Caleb Williams,CHI,2.86,4.3,6.1,-1.8,8.7,34.4,-1.4,23,134,2,0,116.9,73.9,75.2,-1.3
Jalen Hurts,PHI,3.47,5,5.6,-0.6,19,30.5,-4.9,21,108,2,0,110.8,66.7,65.4,1.2
Aidan O'Connell,LV,2.8,5.2,9,-3.8,26.3,31.5,-2.5,19,104,0,1,51.2,57.9,59.1,-1.2
Desmond Ridder,LV,2.5,4.2,5.8,-1.6,11.1,25.2,-1.4,18,101,0,0,81,66.7,73.2,-6.6
